 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53,IntDen54,RawIntDen54,IntDen55,RawIntDen55,IntDen56,RawIntDen56,IntDen57,RawIntDen57,IntDen58,RawIntDen58,IntDen59,RawIntDen59,IntDen60,RawIntDen60,IntDen61,RawIntDen61,IntDen62,RawIntDen62,IntDen63,RawIntDen63,IntDen64,RawIntDen64,IntDen65,RawIntDen65,IntDen66,RawIntDen66,IntDen67,RawIntDen67,IntDen68,RawIntDen68,IntDen69,RawIntDen69,IntDen70,RawIntDen70,IntDen71,RawIntDen71,IntDen72,RawIntDen72,IntDen73,RawIntDen73,IntDen74,RawIntDen74,IntDen75,RawIntDen75,IntDen76,RawIntDen76,IntDen77,RawIntDen77,IntDen78,RawIntDen78,IntDen79,RawIntDen79,IntDen80,RawIntDen80,IntDen81,RawIntDen81,IntDen82,RawIntDen82,IntDen83,RawIntDen83,IntDen84,RawIntDen84,IntDen85,RawIntDen85,IntDen86,RawIntDen86,IntDen87,RawIntDen87,IntDen88,RawIntDen88,IntDen89,RawIntDen89,IntDen90,RawIntDen90,IntDen91,RawIntDen91,IntDen92,RawIntDen92,IntDen93,RawIntDen93,IntDen94,RawIntDen94,IntDen95,RawIntDen95,IntDen96,RawIntDen96,IntDen97,RawIntDen97,IntDen98,RawIntDen98,IntDen99,RawIntDen99,IntDen100,RawIntDen100,IntDen101,RawIntDen101,IntDen102,RawIntDen102,IntDen103,RawIntDen103,IntDen104,RawIntDen104,IntDen105,RawIntDen105,IntDen106,RawIntDen106,IntDen107,RawIntDen107,IntDen108,RawIntDen108,IntDen109,RawIntDen109,IntDen110,RawIntDen110,IntDen111,RawIntDen111,IntDen112,RawIntDen112,IntDen113,RawIntDen113,IntDen114,RawIntDen114,IntDen115,RawIntDen115,IntDen116,RawIntDen116,IntDen117,RawIntDen117,IntDen118,RawIntDen118,IntDen119,RawIntDen119,IntDen120,RawIntDen120,IntDen121,RawIntDen121,IntDen122,RawIntDen122,IntDen123,RawIntDen123,IntDen124,RawIntDen124
1,66944,66944,9956,9956,45348,45348,14386,14386,4148,4148,13719,13719,39398,39398,50887,50887,54618,54618,7373,7373,48494,48494,17199,17199,12469,12469,8623,8623,6365,6365,62224,62224,8202,8202,8654,8654,17740,17740,125008,125008,12050,12050,9973,9973,32507,32507,7643,7643,61590,61590,56640,56640,9634,9634,26005,26005,13723,13723,36792,36792,80841,80841,1901,1901,48833,48833,11401,11401,31767,31767,4540,4540,191796,191796,12287,12287,31590,31590,3346,3346,29395,29395,13319,13319,44897,44897,36617,36617,32203,32203,69823,69823,16607,16607,8893,8893,61150,61150,43205,43205,2174,2174,50554,50554,55412,55412,74043,74043,40464,40464,16650,16650,14480,14480,42118,42118,23701,23701,36766,36766,15235,15235,129501,129501,21460,21460,60436,60436,40410,40410,118265,118265,68603,68603,17739,17739,19180,19180,45374,45374,106757,106757,113852,113852,12058,12058,37986,37986,25287,25287,10084,10084,12381,12381,97955,97955,8542,8542,37357,37357,136815,136815,9283,9283,17159,17159,10699,10699,10285,10285,1107,1107,11601,11601,15064,15064,10071,10071,16559,16559,14274,14274,97640,97640,27282,27282,8127,8127,8931,8931,37323,37323,9079,9079,17526,17526,5612,5612,4190,4190,59375,59375,54341,54341,7435,7435,5762,5762,25736,25736,23555,23555,26859,26859,29312,29312,23411,23411,82201,82201,36720,36720,5129,5129,7392,7392,13967,13967,1491,1491,8599,8599,52225,52225,31997,31997,62685,62685,10193,10193,6233,6233,13985,13985,6617,6617,23813,23813
2,63018,63018,9870,9870,45092,45092,13525,13525,4244,4244,12985,12985,39158,39158,51393,51393,57630,57630,7175,7175,48705,48705,16724,16724,12718,12718,9228,9228,5974,5974,64453,64453,9407,9407,8733,8733,17005,17005,123875,123875,11870,11870,10591,10591,31677,31677,7569,7569,66661,66661,53957,53957,9700,9700,26478,26478,13550,13550,33959,33959,78310,78310,2010,2010,48349,48349,11662,11662,32170,32170,4431,4431,191924,191924,11448,11448,30664,30664,3235,3235,28950,28950,13001,13001,44988,44988,38426,38426,31509,31509,69950,69950,16700,16700,8438,8438,60118,60118,43263,43263,2100,2100,50368,50368,52896,52896,75004,75004,40311,40311,15948,15948,14309,14309,45203,45203,24043,24043,36482,36482,15143,15143,128973,128973,21338,21338,56397,56397,39373,39373,116539,116539,68267,68267,17166,17166,18496,18496,45677,45677,104864,104864,111805,111805,12527,12527,37340,37340,24676,24676,10197,10197,13672,13672,94440,94440,8531,8531,36495,36495,135461,135461,9150,9150,17377,17377,11219,11219,10409,10409,1079,1079,12800,12800,16692,16692,10585,10585,18065,18065,13195,13195,98157,98157,28373,28373,8533,8533,8744,8744,38558,38558,9245,9245,19165,19165,5083,5083,4103,4103,58906,58906,52406,52406,7969,7969,5756,5756,25095,25095,24091,24091,27571,27571,29244,29244,24272,24272,81869,81869,37465,37465,4999,4999,7529,7529,14428,14428,1698,1698,8643,8643,51517,51517,31998,31998,62630,62630,10405,10405,6187,6187,13609,13609,6636,6636,24158,24158
3,59217,59217,10249,10249,44812,44812,12960,12960,4357,4357,12131,12131,41224,41224,50975,50975,59471,59471,7515,7515,48965,48965,17352,17352,13660,13660,9513,9513,6058,6058,64687,64687,9534,9534,8468,8468,18286,18286,124081,124081,12655,12655,11206,11206,31779,31779,7439,7439,71762,71762,53802,53802,10293,10293,28129,28129,14484,14484,32459,32459,79839,79839,2019,2019,49222,49222,11663,11663,32068,32068,4461,4461,191253,191253,11612,11612,29840,29840,3325,3325,29227,29227,13115,13115,44707,44707,41122,41122,31621,31621,72941,72941,15702,15702,8639,8639,61078,61078,43909,43909,1941,1941,53623,53623,52635,52635,78046,78046,39963,39963,18349,18349,14400,14400,50809,50809,22604,22604,35851,35851,15486,15486,132921,132921,21075,21075,52804,52804,38111,38111,115743,115743,67722,67722,17433,17433,19650,19650,44356,44356,103846,103846,110803,110803,13210,13210,37264,37264,24704,24704,10459,10459,15550,15550,94196,94196,7995,7995,35237,35237,134002,134002,8988,8988,18085,18085,11589,11589,11380,11380,1171,1171,13641,13641,16626,16626,10671,10671,18270,18270,12783,12783,98963,98963,29026,29026,8509,8509,9267,9267,38899,38899,9586,9586,22238,22238,5415,5415,4207,4207,59888,59888,53609,53609,8183,8183,6082,6082,26467,26467,24857,24857,32006,32006,29389,29389,24803,24803,83908,83908,39375,39375,5353,5353,7686,7686,15040,15040,1497,1497,8813,8813,51371,51371,30221,30221,61699,61699,10654,10654,5766,5766,13982,13982,6875,6875,25041,25041
4,55224,55224,10127,10127,44738,44738,12828,12828,4452,4452,11965,11965,41585,41585,50171,50171,60559,60559,7283,7283,48615,48615,17297,17297,13476,13476,8904,8904,6513,6513,64461,64461,9630,9630,8038,8038,18544,18544,122283,122283,12271,12271,12050,12050,32142,32142,7546,7546,80799,80799,52725,52725,9848,9848,28832,28832,15003,15003,30697,30697,78803,78803,2269,2269,48759,48759,11457,11457,32793,32793,4843,4843,187528,187528,11037,11037,29955,29955,3433,3433,28995,28995,12915,12915,44052,44052,42286,42286,32321,32321,74406,74406,15551,15551,8832,8832,58739,58739,45042,45042,1936,1936,54710,54710,50671,50671,78306,78306,40507,40507,19048,19048,15112,15112,52681,52681,21687,21687,33350,33350,15028,15028,133800,133800,21333,21333,52267,52267,39460,39460,116881,116881,66287,66287,18047,18047,19615,19615,43657,43657,102388,102388,108384,108384,13205,13205,36795,36795,25501,25501,10032,10032,15791,15791,91181,91181,7880,7880,35114,35114,130040,130040,8381,8381,17984,17984,12098,12098,12080,12080,1134,1134,13500,13500,17583,17583,11343,11343,18004,18004,12848,12848,96906,96906,30588,30588,8797,8797,9063,9063,39931,39931,9578,9578,23984,23984,5721,5721,4338,4338,58618,58618,54026,54026,8367,8367,6381,6381,26774,26774,25345,25345,40156,40156,29793,29793,23629,23629,82992,82992,40648,40648,5153,5153,7415,7415,15584,15584,1643,1643,9511,9511,50040,50040,27270,27270,60805,60805,10222,10222,5978,5978,13380,13380,6426,6426,25564,25564
5,51736,51736,10831,10831,44167,44167,12201,12201,4434,4434,10914,10914,42206,42206,50180,50180,58972,58972,7155,7155,48785,48785,17782,17782,15032,15032,9019,9019,6342,6342,64222,64222,9219,9219,8248,8248,18359,18359,120692,120692,12794,12794,12533,12533,30949,30949,7368,7368,99447,99447,51242,51242,10167,10167,29967,29967,15032,15032,30235,30235,79205,79205,2469,2469,49387,49387,11095,11095,33470,33470,4482,4482,188167,188167,10915,10915,26492,26492,3270,3270,28498,28498,13119,13119,45203,45203,43083,43083,31453,31453,78058,78058,15403,15403,8629,8629,59606,59606,46520,46520,1657,1657,55189,55189,50525,50525,79755,79755,40682,40682,21035,21035,15620,15620,52025,52025,21313,21313,35115,35115,14930,14930,135303,135303,22284,22284,54236,54236,40398,40398,116072,116072,64333,64333,18569,18569,21026,21026,44687,44687,100289,100289,109126,109126,13627,13627,36798,36798,26547,26547,9976,9976,16567,16567,88578,88578,8646,8646,33632,33632,127723,127723,8696,8696,18806,18806,12552,12552,12603,12603,1126,1126,13513,13513,18155,18155,11918,11918,17480,17480,13530,13530,97391,97391,31879,31879,8880,8880,9006,9006,41499,41499,9203,9203,26118,26118,5814,5814,4729,4729,60266,60266,52409,52409,9136,9136,6769,6769,27819,27819,25438,25438,57562,57562,29822,29822,24102,24102,84424,84424,44153,44153,5309,5309,7241,7241,15759,15759,1778,1778,9251,9251,51516,51516,24930,24930,61551,61551,10493,10493,5986,5986,13395,13395,6697,6697,25700,25700
6,47834,47834,11476,11476,44341,44341,12342,12342,4710,4710,11678,11678,44301,44301,49545,49545,60026,60026,7441,7441,48181,48181,17867,17867,14855,14855,8819,8819,6494,6494,67200,67200,8717,8717,8876,8876,18609,18609,121218,121218,13160,13160,14019,14019,31442,31442,7368,7368,117336,117336,50838,50838,10359,10359,32089,32089,16163,16163,32336,32336,80254,80254,2696,2696,50293,50293,11365,11365,33625,33625,4500,4500,188575,188575,11265,11265,24724,24724,3161,3161,29216,29216,12771,12771,45674,45674,44982,44982,29924,29924,81639,81639,15677,15677,8615,8615,60045,60045,49544,49544,1504,1504,56437,56437,49508,49508,81642,81642,40947,40947,23525,23525,16572,16572,53691,53691,20646,20646,38301,38301,15625,15625,135505,135505,21644,21644,56924,56924,43245,43245,116550,116550,66145,66145,18808,18808,20744,20744,43335,43335,97434,97434,110042,110042,14183,14183,36531,36531,28681,28681,10094,10094,17628,17628,87383,87383,7466,7466,32889,32889,127302,127302,8989,8989,18904,18904,13472,13472,13773,13773,1121,1121,14238,14238,18028,18028,12839,12839,17533,17533,14005,14005,97640,97640,34170,34170,8951,8951,8990,8990,42400,42400,9383,9383,28496,28496,6077,6077,7386,7386,60299,60299,51385,51385,9472,9472,6905,6905,27408,27408,24733,24733,61296,61296,30573,30573,25653,25653,83105,83105,50992,50992,4981,4981,7373,7373,16798,16798,1895,1895,9645,9645,49089,49089,24541,24541,60677,60677,10018,10018,5863,5863,13361,13361,6556,6556,25982,25982
7,45127,45127,12048,12048,45910,45910,13437,13437,5186,5186,12098,12098,45206,45206,49594,49594,60299,60299,7590,7590,48034,48034,18021,18021,16066,16066,9045,9045,6787,6787,68866,68866,9090,9090,9431,9431,19217,19217,120572,120572,13607,13607,14153,14153,31775,31775,7720,7720,127627,127627,50167,50167,10283,10283,33228,33228,16784,16784,33426,33426,79226,79226,2761,2761,50489,50489,11651,11651,36494,36494,4677,4677,188415,188415,10848,10848,22626,22626,3303,3303,28994,28994,13224,13224,46559,46559,48000,48000,30738,30738,82368,82368,15301,15301,8825,8825,58125,58125,53254,53254,1553,1553,58408,58408,48896,48896,82880,82880,40767,40767,26126,26126,17054,17054,52619,52619,21033,21033,40069,40069,15647,15647,136808,136808,21491,21491,60359,60359,44730,44730,116451,116451,66846,66846,19961,19961,21731,21731,42419,42419,98698,98698,109001,109001,13877,13877,37230,37230,29322,29322,10041,10041,18710,18710,84717,84717,7949,7949,32269,32269,125406,125406,9009,9009,19100,19100,13960,13960,13799,13799,1304,1304,15298,15298,17375,17375,13239,13239,18273,18273,14213,14213,97735,97735,37240,37240,9602,9602,9383,9383,42702,42702,9571,9571,29808,29808,6117,6117,5955,5955,60664,60664,50741,50741,9872,9872,7199,7199,28025,28025,25540,25540,60107,60107,30264,30264,26646,26646,83173,83173,53554,53554,5007,5007,7187,7187,16859,16859,1890,1890,9841,9841,48398,48398,24753,24753,61996,61996,10102,10102,5862,5862,13378,13378,6890,6890,26399,26399
8,41792,41792,12390,12390,45556,45556,13824,13824,5394,5394,12972,12972,45633,45633,50006,50006,61126,61126,7825,7825,48603,48603,18612,18612,16307,16307,8978,8978,6892,6892,69269,69269,8995,8995,10459,10459,19434,19434,122661,122661,14213,14213,15034,15034,31678,31678,7443,7443,133766,133766,49368,49368,11157,11157,34950,34950,17208,17208,39295,39295,79294,79294,2948,2948,50064,50064,11300,11300,39388,39388,4442,4442,188456,188456,11204,11204,21678,21678,3438,3438,29154,29154,12921,12921,46974,46974,51811,51811,30380,30380,83923,83923,15536,15536,8672,8672,56789,56789,58605,58605,1542,1542,58053,58053,49765,49765,84734,84734,41214,41214,28799,28799,16998,16998,52409,52409,21533,21533,41150,41150,16132,16132,139229,139229,22478,22478,65153,65153,46734,46734,116466,116466,68900,68900,19913,19913,21734,21734,42888,42888,94980,94980,108160,108160,14186,14186,36930,36930,29762,29762,10371,10371,20118,20118,82432,82432,7844,7844,31498,31498,124458,124458,8853,8853,19600,19600,14342,14342,15097,15097,1070,1070,16157,16157,16683,16683,13216,13216,18024,18024,14946,14946,98246,98246,40697,40697,9825,9825,10067,10067,43102,43102,9606,9606,30946,30946,6537,6537,5770,5770,62916,62916,50559,50559,10346,10346,7588,7588,28954,28954,25454,25454,59926,59926,30611,30611,27279,27279,82628,82628,54801,54801,5077,5077,7127,7127,18291,18291,2048,2048,10153,10153,47759,47759,25834,25834,60912,60912,10729,10729,8154,8154,13110,13110,6682,6682,27077,27077
9,39284,39284,13184,13184,46419,46419,14497,14497,5552,5552,13282,13282,47348,47348,49017,49017,59830,59830,8203,8203,47409,47409,18244,18244,17621,17621,9088,9088,6909,6909,69666,69666,9330,9330,12815,12815,19435,19435,121409,121409,15099,15099,16812,16812,31829,31829,7517,7517,135995,135995,49376,49376,11062,11062,35820,35820,17824,17824,44077,44077,79053,79053,3229,3229,51634,51634,11762,11762,42640,42640,4273,4273,186931,186931,11370,11370,19756,19756,3186,3186,28607,28607,13465,13465,48347,48347,55473,55473,30308,30308,86683,86683,15802,15802,9143,9143,57946,57946,63340,63340,1769,1769,57661,57661,48024,48024,86787,86787,40768,40768,31580,31580,17506,17506,53211,53211,27211,27211,41879,41879,15722,15722,142026,142026,23096,23096,67985,67985,52785,52785,116125,116125,69652,69652,20433,20433,22249,22249,42201,42201,93921,93921,108593,108593,14679,14679,37060,37060,30621,30621,10283,10283,20493,20493,82142,82142,7262,7262,31136,31136,123632,123632,9185,9185,20134,20134,15603,15603,16046,16046,1179,1179,17313,17313,17039,17039,13813,13813,18520,18520,15029,15029,98192,98192,44050,44050,10588,10588,10955,10955,44260,44260,9614,9614,33779,33779,6704,6704,5653,5653,65377,65377,49796,49796,11131,11131,7768,7768,29163,29163,26290,26290,58194,58194,30761,30761,27569,27569,82981,82981,55556,55556,5158,5158,7026,7026,18786,18786,2014,2014,10484,10484,46461,46461,27293,27293,61352,61352,10207,10207,8425,8425,12925,12925,6619,6619,28258,28258
10,37936,37936,13977,13977,47242,47242,15389,15389,5697,5697,13857,13857,47929,47929,49037,49037,59800,59800,8609,8609,47943,47943,19132,19132,17777,17777,9203,9203,6998,6998,70884,70884,9142,9142,14065,14065,19273,19273,122403,122403,15596,15596,17137,17137,32016,32016,7616,7616,136851,136851,47082,47082,10792,10792,37830,37830,18858,18858,46479,46479,77743,77743,3087,3087,52568,52568,11830,11830,43860,43860,4474,4474,188022,188022,10498,10498,18838,18838,3389,3389,28674,28674,13661,13661,47835,47835,61542,61542,30211,30211,88500,88500,15633,15633,8694,8694,57014,57014,67835,67835,1693,1693,57918,57918,48101,48101,87770,87770,40290,40290,32713,32713,17736,17736,52949,52949,29395,29395,42637,42637,15876,15876,143447,143447,23405,23405,68690,68690,57779,57779,116388,116388,69611,69611,19991,19991,23560,23560,42156,42156,93322,93322,107899,107899,15101,15101,37165,37165,30577,30577,10255,10255,21788,21788,80095,80095,7023,7023,31481,31481,123790,123790,9113,9113,20069,20069,16313,16313,16995,16995,1248,1248,17406,17406,17417,17417,13998,13998,18292,18292,15179,15179,99131,99131,47561,47561,10438,10438,11729,11729,45379,45379,9753,9753,34151,34151,6717,6717,6260,6260,69065,69065,50465,50465,11890,11890,7887,7887,29606,29606,26497,26497,58200,58200,30619,30619,28437,28437,82735,82735,56701,56701,5131,5131,7186,7186,18826,18826,2199,2199,10520,10520,46685,46685,29223,29223,62540,62540,10685,10685,8549,8549,13738,13738,6888,6888,29776,29776
