 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53,IntDen54,RawIntDen54,IntDen55,RawIntDen55,IntDen56,RawIntDen56,IntDen57,RawIntDen57,IntDen58,RawIntDen58,IntDen59,RawIntDen59,IntDen60,RawIntDen60,IntDen61,RawIntDen61,IntDen62,RawIntDen62,IntDen63,RawIntDen63,IntDen64,RawIntDen64,IntDen65,RawIntDen65,IntDen66,RawIntDen66,IntDen67,RawIntDen67,IntDen68,RawIntDen68,IntDen69,RawIntDen69,IntDen70,RawIntDen70,IntDen71,RawIntDen71,IntDen72,RawIntDen72,IntDen73,RawIntDen73,IntDen74,RawIntDen74,IntDen75,RawIntDen75,IntDen76,RawIntDen76,IntDen77,RawIntDen77,IntDen78,RawIntDen78,IntDen79,RawIntDen79,IntDen80,RawIntDen80,IntDen81,RawIntDen81,IntDen82,RawIntDen82,IntDen83,RawIntDen83,IntDen84,RawIntDen84,IntDen85,RawIntDen85,IntDen86,RawIntDen86,IntDen87,RawIntDen87,IntDen88,RawIntDen88,IntDen89,RawIntDen89,IntDen90,RawIntDen90,IntDen91,RawIntDen91,IntDen92,RawIntDen92,IntDen93,RawIntDen93,IntDen94,RawIntDen94,IntDen95,RawIntDen95,IntDen96,RawIntDen96,IntDen97,RawIntDen97,IntDen98,RawIntDen98,IntDen99,RawIntDen99,IntDen100,RawIntDen100,IntDen101,RawIntDen101,IntDen102,RawIntDen102,IntDen103,RawIntDen103,IntDen104,RawIntDen104,IntDen105,RawIntDen105,IntDen106,RawIntDen106,IntDen107,RawIntDen107,IntDen108,RawIntDen108,IntDen109,RawIntDen109,IntDen110,RawIntDen110,IntDen111,RawIntDen111,IntDen112,RawIntDen112,IntDen113,RawIntDen113,IntDen114,RawIntDen114,IntDen115,RawIntDen115,IntDen116,RawIntDen116,IntDen117,RawIntDen117,IntDen118,RawIntDen118,IntDen119,RawIntDen119,IntDen120,RawIntDen120,IntDen121,RawIntDen121,IntDen122,RawIntDen122,IntDen123,RawIntDen123,IntDen124,RawIntDen124,IntDen125,RawIntDen125,IntDen126,RawIntDen126,IntDen127,RawIntDen127,IntDen128,RawIntDen128,IntDen129,RawIntDen129,IntDen130,RawIntDen130,IntDen131,RawIntDen131,IntDen132,RawIntDen132,IntDen133,RawIntDen133,IntDen134,RawIntDen134,IntDen135,RawIntDen135,IntDen136,RawIntDen136
1,10190,10190,9477,9477,25086,25086,11025,11025,2544,2544,16302,16302,13403,13403,25334,25334,18767,18767,40636,40636,35482,35482,19173,19173,6601,6601,49311,49311,24544,24544,4687,4687,11579,11579,11711,11711,8408,8408,19974,19974,37512,37512,14216,14216,48139,48139,10919,10919,8898,8898,6493,6493,11106,11106,28043,28043,26982,26982,51431,51431,8960,8960,12667,12667,15746,15746,53224,53224,6652,6652,28885,28885,16644,16644,16189,16189,50395,50395,13129,13129,52491,52491,9153,9153,7049,7049,7825,7825,107237,107237,20627,20627,43637,43637,16920,16920,59350,59350,27030,27030,56135,56135,70212,70212,13337,13337,8044,8044,74195,74195,7131,7131,3691,3691,11497,11497,5562,5562,17779,17779,45974,45974,9956,9956,97910,97910,35453,35453,7535,7535,4044,4044,5144,5144,24984,24984,58210,58210,47525,47525,8029,8029,3167,3167,5077,5077,61885,61885,13428,13428,27159,27159,52120,52120,17141,17141,6193,6193,43425,43425,18691,18691,23318,23318,14003,14003,30174,30174,25370,25370,27452,27452,5979,5979,33596,33596,18235,18235,14246,14246,19841,19841,10603,10603,25320,25320,13359,13359,174020,174020,1346,1346,5045,5045,21081,21081,7979,7979,37336,37336,26659,26659,20000,20000,52076,52076,54148,54148,7862,7862,14069,14069,25459,25459,32514,32514,44934,44934,64770,64770,27056,27056,821,821,60326,60326,104847,104847,23825,23825,28236,28236,1230,1230,28730,28730,16003,16003,41529,41529,8086,8086,5976,5976,56920,56920,95695,95695,49948,49948,7165,7165,26734,26734,15130,15130,33664,33664,12753,12753,12603,12603,17619,17619,25448,25448,90564,90564,1467,1467,12521,12521
2,10188,10188,8843,8843,25343,25343,11020,11020,2595,2595,16904,16904,12710,12710,24495,24495,18469,18469,41274,41274,33624,33624,18130,18130,6268,6268,46840,46840,22446,22446,4822,4822,12569,12569,11691,11691,8266,8266,19858,19858,36324,36324,14432,14432,45024,45024,11147,11147,8609,8609,6443,6443,11038,11038,26289,26289,28407,28407,51162,51162,8997,8997,12860,12860,16929,16929,54706,54706,6560,6560,26693,26693,15583,15583,16132,16132,48864,48864,13136,13136,52129,52129,8866,8866,7115,7115,7384,7384,105576,105576,18162,18162,42299,42299,15651,15651,53524,53524,27997,27997,61034,61034,70047,70047,13670,13670,8175,8175,75640,75640,7058,7058,4016,4016,11804,11804,5361,5361,18079,18079,43629,43629,9959,9959,89450,89450,36771,36771,7811,7811,4209,4209,5531,5531,24396,24396,57289,57289,47275,47275,8106,8106,2943,2943,4857,4857,60124,60124,14119,14119,25703,25703,54656,54656,17326,17326,6406,6406,42589,42589,18232,18232,23377,23377,13730,13730,31582,31582,24569,24569,26805,26805,5728,5728,34841,34841,18917,18917,14891,14891,20471,20471,10377,10377,26596,26596,13469,13469,164489,164489,1466,1466,5060,5060,22001,22001,8120,8120,38280,38280,28042,28042,19267,19267,57877,57877,50033,50033,8320,8320,14026,14026,21305,21305,35314,35314,37395,37395,68704,68704,22521,22521,700,700,53476,53476,108265,108265,25222,25222,26597,26597,1119,1119,30307,30307,16542,16542,36035,36035,7997,7997,6210,6210,54991,54991,91532,91532,47991,47991,6741,6741,27688,27688,15291,15291,29051,29051,13285,13285,12398,12398,17444,17444,23660,23660,90574,90574,1453,1453,11140,11140
3,9862,9862,8804,8804,25744,25744,10985,10985,2670,2670,16488,16488,12539,12539,24172,24172,18906,18906,41377,41377,32332,32332,18000,18000,6851,6851,46306,46306,21644,21644,4955,4955,11583,11583,11450,11450,8077,8077,20463,20463,36733,36733,14390,14390,42481,42481,11429,11429,8852,8852,6871,6871,10826,10826,26349,26349,26560,26560,54341,54341,9730,9730,13027,13027,16711,16711,58100,58100,6614,6614,25512,25512,16309,16309,15622,15622,49250,49250,13780,13780,50636,50636,9091,9091,7440,7440,7552,7552,104746,104746,15445,15445,39745,39745,14236,14236,51879,51879,27235,27235,65455,65455,71654,71654,14201,14201,8651,8651,78766,78766,7396,7396,4245,4245,12567,12567,5846,5846,18950,18950,45730,45730,10833,10833,86842,86842,38138,38138,8484,8484,4353,4353,5555,5555,24143,24143,58064,58064,47811,47811,7856,7856,3885,3885,5224,5224,60157,60157,14183,14183,25725,25725,57835,57835,17525,17525,6673,6673,41158,41158,17963,17963,22910,22910,14158,14158,32417,32417,24111,24111,28546,28546,5833,5833,35267,35267,19268,19268,15030,15030,20578,20578,9994,9994,28437,28437,13498,13498,154669,154669,1403,1403,5040,5040,21220,21220,8326,8326,44554,44554,31092,31092,18813,18813,65139,65139,48400,48400,8821,8821,15391,15391,19219,19219,39345,39345,31949,31949,69162,69162,18394,18394,734,734,48794,48794,110823,110823,27746,27746,25041,25041,1222,1222,31556,31556,17327,17327,31799,31799,8049,8049,6211,6211,56326,56326,88189,88189,47563,47563,6722,6722,27366,27366,16104,16104,26102,26102,13582,13582,12939,12939,18096,18096,21430,21430,90986,90986,1367,1367,9607,9607
4,10248,10248,8960,8960,25674,25674,11324,11324,2803,2803,17890,17890,12638,12638,24953,24953,18558,18558,42044,42044,31644,31644,18904,18904,7339,7339,43342,43342,21363,21363,4930,4930,12059,12059,11786,11786,8343,8343,20637,20637,36461,36461,13499,13499,39406,39406,11404,11404,8644,8644,7230,7230,10616,10616,25245,25245,27072,27072,57861,57861,9753,9753,13874,13874,17899,17899,60406,60406,6724,6724,24490,24490,15679,15679,15964,15964,48520,48520,13960,13960,49230,49230,9142,9142,7489,7489,7620,7620,104635,104635,14275,14275,38135,38135,13318,13318,48413,48413,28686,28686,72671,72671,71191,71191,15024,15024,8869,8869,83572,83572,7903,7903,4575,4575,13125,13125,6088,6088,27549,27549,43594,43594,11351,11351,79554,79554,39852,39852,8971,8971,4476,4476,11349,11349,23449,23449,61573,61573,50450,50450,7859,7859,5329,5329,5434,5434,58689,58689,14781,14781,25069,25069,63768,63768,18977,18977,6869,6869,42614,42614,18480,18480,23204,23204,14488,14488,34916,34916,23959,23959,28840,28840,5317,5317,38270,38270,20565,20565,15159,15159,21337,21337,10815,10815,29881,29881,14228,14228,147391,147391,1481,1481,5208,5208,22844,22844,9013,9013,73124,73124,34749,34749,17926,17926,71663,71663,43553,43553,9063,9063,17342,17342,17774,17774,44689,44689,27533,27533,69345,69345,15589,15589,648,648,43117,43117,115312,115312,30892,30892,22393,22393,1163,1163,33631,33631,18191,18191,27691,27691,8355,8355,6623,6623,55462,55462,81900,81900,46649,46649,6653,6653,28073,28073,16930,16930,22148,22148,15502,15502,13194,13194,18462,18462,19436,19436,91396,91396,1667,1667,8260,8260
5,10482,10482,8700,8700,26353,26353,11270,11270,2780,2780,18477,18477,12355,12355,24314,24314,19543,19543,43360,43360,30537,30537,18324,18324,6573,6573,43971,43971,20632,20632,5268,5268,12132,12132,11949,11949,8451,8451,20913,20913,36520,36520,13780,13780,39416,39416,11555,11555,8581,8581,7776,7776,11036,11036,24788,24788,25209,25209,60286,60286,9862,9862,14127,14127,19810,19810,63285,63285,6803,6803,23505,23505,15694,15694,16182,16182,47395,47395,14352,14352,48681,48681,9953,9953,7515,7515,7663,7663,105146,105146,12760,12760,37942,37942,12882,12882,46350,46350,30227,30227,80507,80507,73328,73328,15617,15617,9385,9385,85814,85814,8176,8176,4925,4925,14108,14108,6019,6019,24399,24399,39999,39999,11348,11348,74304,74304,41594,41594,9468,9468,4559,4559,8822,8822,23418,23418,66555,66555,51614,51614,7790,7790,5199,5199,5692,5692,63820,63820,15163,15163,24829,24829,67478,67478,19887,19887,7042,7042,44060,44060,17964,17964,24421,24421,14532,14532,37283,37283,24554,24554,30917,30917,5641,5641,40009,40009,22359,22359,15337,15337,21382,21382,10731,10731,31870,31870,14378,14378,139369,139369,1619,1619,5413,5413,23320,23320,9010,9010,74829,74829,39517,39517,17081,17081,77691,77691,41992,41992,9410,9410,18191,18191,16631,16631,49005,49005,23944,23944,69306,69306,14382,14382,722,722,37030,37030,115637,115637,34717,34717,20950,20950,1216,1216,35417,35417,20481,20481,25678,25678,8438,8438,6456,6456,55878,55878,76965,76965,45448,45448,7119,7119,29570,29570,17303,17303,19581,19581,16452,16452,13157,13157,18438,18438,17031,17031,91821,91821,1395,1395,7491,7491
6,11398,11398,9173,9173,26809,26809,11662,11662,2865,2865,19263,19263,13129,13129,24627,24627,20165,20165,45164,45164,29955,29955,19480,19480,6854,6854,42290,42290,20470,20470,5295,5295,12624,12624,12045,12045,8545,8545,21995,21995,36724,36724,13599,13599,39511,39511,11905,11905,8765,8765,6786,6786,10858,10858,24828,24828,25388,25388,62409,62409,10301,10301,14779,14779,19247,19247,67327,67327,7053,7053,23255,23255,15709,15709,16157,16157,46309,46309,14838,14838,48886,48886,9946,9946,7657,7657,8371,8371,105868,105868,12744,12744,37675,37675,11930,11930,43909,43909,32061,32061,83881,83881,72170,72170,16731,16731,9751,9751,85396,85396,8494,8494,4726,4726,14296,14296,6634,6634,22793,22793,40028,40028,11704,11704,69472,69472,42376,42376,9923,9923,4434,4434,8107,8107,23087,23087,69360,69360,51207,51207,7340,7340,3957,3957,5802,5802,71631,71631,15770,15770,24090,24090,71462,71462,19843,19843,7333,7333,46016,46016,18586,18586,25086,25086,14883,14883,39109,39109,25877,25877,31838,31838,5460,5460,41114,41114,23017,23017,16344,16344,22195,22195,9742,9742,33602,33602,14448,14448,132031,132031,1661,1661,5387,5387,24407,24407,10214,10214,62927,62927,43981,43981,16845,16845,81752,81752,40828,40828,9917,9917,18853,18853,15053,15053,52078,52078,20953,20953,68654,68654,13090,13090,695,695,34060,34060,117470,117470,37616,37616,20029,20029,1248,1248,37899,37899,21084,21084,22914,22914,8162,8162,6865,6865,55011,55011,72533,72533,44730,44730,6960,6960,30251,30251,18131,18131,16283,16283,16857,16857,13139,13139,18969,18969,15300,15300,89090,89090,1624,1624,6650,6650
7,10866,10866,9212,9212,27631,27631,11834,11834,2852,2852,19166,19166,12692,12692,25168,25168,20552,20552,45386,45386,29425,29425,19769,19769,6622,6622,41666,41666,20729,20729,5764,5764,11613,11613,12284,12284,8710,8710,22729,22729,37550,37550,14512,14512,40634,40634,12549,12549,8551,8551,4315,4315,11093,11093,25316,25316,26159,26159,65167,65167,10265,10265,15466,15466,21214,21214,70000,70000,6883,6883,22277,22277,16040,16040,16528,16528,46792,46792,15787,15787,48567,48567,10683,10683,7886,7886,8433,8433,105256,105256,11809,11809,35440,35440,11536,11536,42029,42029,32146,32146,87980,87980,72969,72969,17647,17647,10426,10426,86214,86214,8867,8867,5304,5304,15444,15444,6740,6740,23953,23953,38026,38026,12003,12003,66342,66342,42861,42861,10140,10140,5285,5285,8194,8194,22538,22538,72637,72637,54205,54205,7754,7754,3809,3809,5764,5764,81754,81754,16731,16731,24192,24192,75807,75807,20381,20381,7965,7965,47904,47904,19660,19660,26074,26074,15348,15348,40631,40631,31364,31364,32140,32140,5750,5750,43525,43525,25334,25334,16073,16073,22516,22516,9608,9608,37642,37642,15096,15096,123688,123688,1652,1652,5563,5563,32158,32158,10310,10310,58027,58027,47251,47251,16795,16795,86308,86308,39759,39759,10402,10402,21544,21544,14386,14386,55934,55934,18785,18785,68977,68977,12718,12718,700,700,31587,31587,120714,120714,39585,39585,19927,19927,1330,1330,39270,39270,23322,23322,22263,22263,8801,8801,7170,7170,55718,55718,68102,68102,43634,43634,7316,7316,31538,31538,19075,19075,14660,14660,18424,18424,12307,12307,18984,18984,14430,14430,86194,86194,1427,1427,5939,5939
8,11093,11093,9260,9260,27649,27649,12006,12006,2976,2976,20336,20336,12837,12837,25044,25044,20601,20601,47050,47050,29555,29555,20113,20113,7273,7273,41609,41609,19840,19840,5879,5879,11862,11862,12082,12082,8923,8923,22797,22797,37857,37857,13892,13892,39381,39381,12224,12224,9075,9075,4145,4145,11195,11195,24895,24895,26330,26330,66448,66448,10689,10689,16331,16331,19424,19424,73508,73508,7322,7322,21649,21649,16122,16122,16476,16476,46619,46619,15438,15438,48161,48161,11015,11015,8301,8301,8548,8548,106091,106091,12073,12073,35747,35747,11798,11798,41090,41090,33611,33611,93150,93150,73911,73911,17903,17903,10833,10833,85947,85947,8979,8979,5068,5068,15784,15784,6616,6616,25369,25369,39280,39280,12329,12329,64039,64039,44725,44725,9962,9962,5076,5076,10361,10361,22643,22643,73871,73871,54178,54178,7416,7416,3723,3723,6827,6827,93332,93332,25786,25786,24497,24497,79639,79639,21526,21526,7774,7774,50856,50856,19429,19429,27162,27162,15844,15844,42240,42240,34091,34091,32742,32742,5586,5586,44733,44733,26207,26207,17177,17177,23011,23011,10308,10308,41875,41875,15341,15341,120479,120479,1850,1850,5713,5713,44668,44668,10879,10879,57762,57762,50400,50400,15929,15929,87565,87565,39648,39648,11544,11544,22022,22022,13564,13564,56750,56750,18017,18017,69899,69899,12056,12056,666,666,28231,28231,120406,120406,44231,44231,18795,18795,1275,1275,40192,40192,24831,24831,20675,20675,8987,8987,7391,7391,53269,53269,63786,63786,42211,42211,7197,7197,32773,32773,19764,19764,12956,12956,20075,20075,12917,12917,18914,18914,12662,12662,86444,86444,1772,1772,5505,5505
9,11204,11204,9208,9208,28026,28026,12295,12295,3180,3180,20221,20221,13481,13481,24886,24886,21615,21615,48632,48632,28907,28907,20933,20933,7189,7189,42178,42178,20044,20044,6153,6153,11912,11912,12273,12273,8934,8934,23501,23501,39578,39578,14791,14791,40017,40017,12823,12823,9471,9471,4500,4500,11549,11549,26182,26182,26305,26305,66621,66621,10751,10751,17064,17064,21996,21996,77329,77329,7295,7295,20929,20929,16057,16057,17215,17215,46676,46676,16399,16399,47894,47894,11857,11857,8096,8096,8686,8686,105467,105467,11654,11654,35107,35107,11109,11109,38866,38866,34459,34459,96695,96695,74739,74739,19144,19144,11135,11135,84087,84087,9482,9482,5482,5482,17213,17213,7239,7239,26056,26056,37397,37397,12156,12156,62238,62238,45695,45695,10564,10564,5157,5157,9833,9833,22041,22041,75001,75001,55559,55559,7711,7711,3741,3741,7192,7192,93144,93144,24175,24175,23062,23062,82518,82518,22349,22349,8261,8261,52933,52933,19785,19785,27530,27530,16124,16124,44839,44839,28653,28653,33583,33583,5769,5769,46292,46292,27884,27884,17728,17728,23147,23147,9583,9583,41169,41169,15965,15965,113818,113818,1733,1733,5638,5638,36868,36868,11019,11019,58271,58271,55123,55123,15818,15818,90967,90967,39053,39053,11476,11476,23311,23311,13110,13110,58692,58692,16212,16212,70409,70409,11684,11684,494,494,26707,26707,121289,121289,47634,47634,18633,18633,1090,1090,42658,42658,25220,25220,20236,20236,9340,9340,7347,7347,53384,53384,59388,59388,40112,40112,7823,7823,35255,35255,20589,20589,11999,11999,22300,22300,11722,11722,18986,18986,12248,12248,82701,82701,1843,1843,4995,4995
10,11644,11644,9259,9259,28474,28474,12296,12296,3154,3154,21624,21624,12470,12470,26116,26116,21421,21421,49400,49400,28076,28076,21269,21269,7054,7054,41631,41631,19663,19663,6346,6346,12002,12002,12335,12335,9382,9382,23713,23713,38768,38768,14516,14516,39721,39721,13145,13145,8854,8854,4513,4513,11537,11537,25656,25656,26060,26060,68670,68670,10784,10784,17096,17096,23712,23712,76811,76811,7399,7399,20923,20923,16192,16192,17123,17123,45869,45869,16023,16023,48489,48489,11603,11603,8428,8428,8643,8643,106786,106786,11294,11294,34813,34813,11165,11165,38467,38467,35234,35234,98442,98442,74233,74233,19922,19922,12008,12008,86063,86063,9692,9692,5500,5500,17628,17628,7435,7435,27433,27433,37484,37484,12633,12633,58123,58123,46602,46602,10645,10645,5187,5187,9544,9544,21624,21624,75816,75816,55874,55874,7629,7629,3647,3647,7264,7264,87716,87716,21776,21776,22890,22890,85769,85769,22410,22410,8047,8047,54848,54848,19622,19622,28371,28371,16061,16061,44892,44892,25241,25241,34713,34713,5772,5772,46222,46222,28478,28478,18167,18167,22585,22585,10166,10166,43162,43162,16896,16896,110272,110272,1811,1811,5848,5848,33572,33572,10889,10889,60340,60340,57956,57956,15653,15653,93129,93129,39490,39490,11617,11617,24444,24444,12371,12371,61015,61015,15593,15593,69731,69731,11090,11090,684,684,25269,25269,121627,121627,52877,52877,18355,18355,1244,1244,42536,42536,27147,27147,19560,19560,9486,9486,7629,7629,50881,50881,57202,57202,38975,38975,7300,7300,36230,36230,21061,21061,11070,11070,23788,23788,10856,10856,18573,18573,11348,11348,78393,78393,2120,2120,4725,4725
