 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53,IntDen54,RawIntDen54,IntDen55,RawIntDen55,IntDen56,RawIntDen56,IntDen57,RawIntDen57,IntDen58,RawIntDen58,IntDen59,RawIntDen59,IntDen60,RawIntDen60,IntDen61,RawIntDen61,IntDen62,RawIntDen62,IntDen63,RawIntDen63,IntDen64,RawIntDen64,IntDen65,RawIntDen65,IntDen66,RawIntDen66,IntDen67,RawIntDen67,IntDen68,RawIntDen68,IntDen69,RawIntDen69,IntDen70,RawIntDen70,IntDen71,RawIntDen71,IntDen72,RawIntDen72,IntDen73,RawIntDen73,IntDen74,RawIntDen74,IntDen75,RawIntDen75,IntDen76,RawIntDen76,IntDen77,RawIntDen77,IntDen78,RawIntDen78,IntDen79,RawIntDen79,IntDen80,RawIntDen80,IntDen81,RawIntDen81,IntDen82,RawIntDen82,IntDen83,RawIntDen83,IntDen84,RawIntDen84,IntDen85,RawIntDen85,IntDen86,RawIntDen86,IntDen87,RawIntDen87,IntDen88,RawIntDen88,IntDen89,RawIntDen89,IntDen90,RawIntDen90,IntDen91,RawIntDen91,IntDen92,RawIntDen92,IntDen93,RawIntDen93,IntDen94,RawIntDen94,IntDen95,RawIntDen95,IntDen96,RawIntDen96,IntDen97,RawIntDen97,IntDen98,RawIntDen98,IntDen99,RawIntDen99,IntDen100,RawIntDen100,IntDen101,RawIntDen101,IntDen102,RawIntDen102,IntDen103,RawIntDen103,IntDen104,RawIntDen104,IntDen105,RawIntDen105,IntDen106,RawIntDen106,IntDen107,RawIntDen107,IntDen108,RawIntDen108,IntDen109,RawIntDen109,IntDen110,RawIntDen110,IntDen111,RawIntDen111,IntDen112,RawIntDen112,IntDen113,RawIntDen113,IntDen114,RawIntDen114,IntDen115,RawIntDen115,IntDen116,RawIntDen116,IntDen117,RawIntDen117,IntDen118,RawIntDen118,IntDen119,RawIntDen119
1,83151,83151,97380,97380,39675,39675,28230,28230,36901,36901,84556,84556,94944,94944,66395,66395,79214,79214,67837,67837,54683,54683,21235,21235,10468,10468,28079,28079,27403,27403,30453,30453,69861,69861,39625,39625,20368,20368,17357,17357,34919,34919,73144,73144,54472,54472,93788,93788,26499,26499,14907,14907,41724,41724,88969,88969,20170,20170,21802,21802,12234,12234,69652,69652,47981,47981,85524,85524,83195,83195,31324,31324,43108,43108,57894,57894,28754,28754,6678,6678,23157,23157,5322,5322,92691,92691,15526,15526,29109,29109,125472,125472,12095,12095,28886,28886,20782,20782,13496,13496,12097,12097,27863,27863,7619,7619,30408,30408,54130,54130,66344,66344,2957,2957,19968,19968,39225,39225,23650,23650,19441,19441,27526,27526,11976,11976,17836,17836,52587,52587,86470,86470,47308,47308,21983,21983,38737,38737,27451,27451,56683,56683,68159,68159,18889,18889,24280,24280,29078,29078,14770,14770,45285,45285,19857,19857,48046,48046,10198,10198,24001,24001,9910,9910,37819,37819,50279,50279,36930,36930,10862,10862,36483,36483,17526,17526,16799,16799,31084,31084,18061,18061,12079,12079,31382,31382,10793,10793,21838,21838,54325,54325,19017,19017,70904,70904,56327,56327,22707,22707,21943,21943,8919,8919,10214,10214,16589,16589,25098,25098,7681,7681,9060,9060,8087,8087,7913,7913,46062,46062,22552,22552,40133,40133,19929,19929,14369,14369,7285,7285,24638,24638,2555,2555,7597,7597,9830,9830
2,82137,82137,95816,95816,38205,38205,28313,28313,36698,36698,83035,83035,92299,92299,66146,66146,75108,75108,66289,66289,51982,51982,20944,20944,10430,10430,28546,28546,26443,26443,29314,29314,68161,68161,37808,37808,20686,20686,17496,17496,37498,37498,71438,71438,54469,54469,93391,93391,25772,25772,13865,13865,42156,42156,87930,87930,21208,21208,20591,20591,12813,12813,68106,68106,44257,44257,84632,84632,79824,79824,30925,30925,41646,41646,54596,54596,27737,27737,6736,6736,22365,22365,5292,5292,90204,90204,15402,15402,29019,29019,123687,123687,11395,11395,27592,27592,17803,17803,12602,12602,11799,11799,27101,27101,7090,7090,30719,30719,52433,52433,64707,64707,2823,2823,19924,19924,37259,37259,22971,22971,19243,19243,27481,27481,12141,12141,16837,16837,48852,48852,84777,84777,46499,46499,21315,21315,38542,38542,27198,27198,54317,54317,65677,65677,17775,17775,21380,21380,25907,25907,14716,14716,40385,40385,19653,19653,43406,43406,9957,9957,22795,22795,10386,10386,37340,37340,48977,48977,28949,28949,10328,10328,34482,34482,17301,17301,16865,16865,30404,30404,17440,17440,11524,11524,28368,28368,10420,10420,19115,19115,52019,52019,18881,18881,69561,69561,49046,49046,21423,21423,20564,20564,8665,8665,8989,8989,16570,16570,23921,23921,7493,7493,8112,8112,7876,7876,7604,7604,42906,42906,21407,21407,37784,37784,19860,19860,14309,14309,6721,6721,22947,22947,2495,2495,7341,7341,9572,9572
3,79890,79890,94785,94785,38542,38542,28299,28299,36356,36356,82734,82734,89434,89434,68306,68306,71576,71576,65014,65014,52294,52294,21100,21100,9811,9811,29857,29857,27289,27289,27786,27786,68180,68180,36337,36337,19866,19866,17392,17392,39354,39354,72731,72731,55404,55404,91456,91456,25883,25883,14456,14456,43551,43551,91129,91129,21727,21727,21094,21094,13624,13624,68041,68041,44608,44608,85825,85825,81286,81286,32858,32858,41380,41380,51744,51744,27329,27329,7034,7034,22920,22920,5277,5277,90642,90642,16354,16354,28860,28860,123962,123962,12019,12019,28096,28096,17032,17032,12401,12401,12016,12016,28597,28597,7107,7107,30957,30957,51498,51498,63588,63588,2887,2887,19614,19614,35469,35469,22711,22711,18891,18891,27460,27460,11997,11997,16054,16054,45157,45157,85004,85004,43823,43823,20541,20541,37992,37992,27220,27220,52853,52853,64709,64709,17215,17215,19937,19937,27340,27340,14733,14733,36070,36070,19504,19504,40667,40667,9917,9917,23567,23567,10005,10005,38958,38958,47701,47701,24314,24314,10174,10174,33194,33194,17470,17470,15682,15682,31089,31089,17747,17747,10940,10940,24590,24590,10165,10165,16981,16981,50058,50058,18804,18804,69569,69569,42400,42400,21721,21721,20604,20604,8519,8519,9320,9320,15461,15461,23484,23484,7490,7490,7795,7795,7650,7650,7436,7436,40292,40292,21029,21029,34749,34749,19729,19729,13228,13228,6472,6472,21763,21763,2599,2599,7450,7450,8897,8897
4,80805,80805,92636,92636,38737,38737,28344,28344,36208,36208,81265,81265,88791,88791,68658,68658,69015,69015,63624,63624,49756,49756,20883,20883,9851,9851,29811,29811,27221,27221,27243,27243,67373,67373,35484,35484,19150,19150,16827,16827,42283,42283,71690,71690,54500,54500,90536,90536,25488,25488,13537,13537,44474,44474,91395,91395,22219,22219,20208,20208,13445,13445,67318,67318,44932,44932,86743,86743,79212,79212,32519,32519,40017,40017,47575,47575,26132,26132,7145,7145,23201,23201,5394,5394,88722,88722,16480,16480,29277,29277,123039,123039,11937,11937,27487,27487,15814,15814,11680,11680,11994,11994,30032,30032,7019,7019,31660,31660,52202,52202,61899,61899,2767,2767,19837,19837,34240,34240,21702,21702,19036,19036,27400,27400,11952,11952,14966,14966,43426,43426,83598,83598,42877,42877,20973,20973,38163,38163,27590,27590,50809,50809,62544,62544,16446,16446,18152,18152,26094,26094,15140,15140,32049,32049,19732,19732,38355,38355,10113,10113,23296,23296,10702,10702,39795,39795,47976,47976,21073,21073,10321,10321,32399,32399,17693,17693,15528,15528,31912,31912,17954,17954,10180,10180,20928,20928,10164,10164,14626,14626,48595,48595,18630,18630,69847,69847,36453,36453,21923,21923,20632,20632,8313,8313,8951,8951,16302,16302,23721,23721,7245,7245,7241,7241,7778,7778,7056,7056,39409,39409,20942,20942,33451,33451,20146,20146,13139,13139,6495,6495,21118,21118,2650,2650,7355,7355,8348,8348
5,81013,81013,90936,90936,38690,38690,28353,28353,35730,35730,81007,81007,86517,86517,69022,69022,67149,67149,62651,62651,48364,48364,21178,21178,9796,9796,29621,29621,26599,26599,24143,24143,66090,66090,33136,33136,19008,19008,16446,16446,42948,42948,72056,72056,54329,54329,90503,90503,25217,25217,13104,13104,45733,45733,90684,90684,22892,22892,20293,20293,13313,13313,65668,65668,43590,43590,88588,88588,78559,78559,32578,32578,39604,39604,43931,43931,25393,25393,6832,6832,23162,23162,4881,4881,87558,87558,16380,16380,28797,28797,121777,121777,11857,11857,26791,26791,13139,13139,12003,12003,11491,11491,31389,31389,7003,7003,31045,31045,51601,51601,60236,60236,2606,2606,20036,20036,32990,32990,22055,22055,18243,18243,28528,28528,12061,12061,15492,15492,41790,41790,82886,82886,40390,40390,20045,20045,38143,38143,27815,27815,48632,48632,61013,61013,15474,15474,17259,17259,23739,23739,14594,14594,28944,28944,19662,19662,36464,36464,10055,10055,23199,23199,10724,10724,40557,40557,46577,46577,18493,18493,9982,9982,30444,30444,17076,17076,15326,15326,31631,31631,17569,17569,9551,9551,17831,17831,9883,9883,13456,13456,46328,46328,18925,18925,69407,69407,31121,31121,21646,21646,21303,21303,8059,8059,8317,8317,15699,15699,22332,22332,6794,6794,6634,6634,7322,7322,7052,7052,37379,37379,20550,20550,32525,32525,20418,20418,12660,12660,6044,6044,20180,20180,2615,2615,7627,7627,7762,7762
6,80601,80601,89592,89592,37687,37687,27844,27844,35208,35208,78230,78230,85473,85473,67535,67535,64592,64592,59656,59656,47430,47430,20781,20781,9692,9692,28911,28911,26678,26678,22149,22149,64856,64856,32462,32462,20018,20018,16063,16063,44948,44948,70763,70763,53914,53914,91117,91117,24554,24554,12433,12433,46446,46446,90394,90394,22376,22376,19778,19778,13639,13639,67106,67106,43805,43805,89160,89160,75422,75422,31735,31735,40270,40270,40279,40279,25650,25650,7050,7050,22529,22529,4913,4913,86710,86710,15886,15886,28736,28736,120411,120411,11762,11762,25964,25964,12092,12092,11720,11720,12017,12017,30557,30557,6827,6827,31699,31699,49907,49907,59312,59312,2672,2672,19580,19580,31139,31139,21097,21097,18490,18490,28374,28374,12431,12431,15211,15211,39455,39455,82393,82393,40123,40123,19780,19780,37839,37839,28318,28318,47811,47811,59731,59731,14662,14662,16039,16039,22861,22861,14874,14874,26114,26114,19641,19641,34238,34238,9769,9769,22729,22729,11258,11258,40304,40304,47601,47601,16553,16553,9900,9900,30406,30406,17457,17457,14831,14831,31828,31828,16712,16712,9942,9942,15896,15896,9719,9719,12247,12247,45072,45072,18323,18323,70269,70269,25916,25916,21424,21424,21344,21344,8373,8373,8526,8526,15228,15228,22154,22154,7011,7011,6651,6651,7302,7302,6936,6936,35548,35548,20233,20233,32665,32665,21299,21299,12770,12770,6031,6031,19802,19802,2845,2845,7630,7630,8030,8030
7,81947,81947,87366,87366,38219,38219,28336,28336,33775,33775,77332,77332,83457,83457,66437,66437,61503,61503,59581,59581,47085,47085,21107,21107,9881,9881,27897,27897,27034,27034,23086,23086,64499,64499,31202,31202,20182,20182,15532,15532,45326,45326,68623,68623,53357,53357,87722,87722,24532,24532,12008,12008,47768,47768,89469,89469,22860,22860,19134,19134,13618,13618,66799,66799,42623,42623,91200,91200,74093,74093,31356,31356,39285,39285,37590,37590,26003,26003,6885,6885,22965,22965,4735,4735,85058,85058,16061,16061,28493,28493,118914,118914,11765,11765,25319,25319,11339,11339,11646,11646,11709,11709,30118,30118,6531,6531,32325,32325,48937,48937,59351,59351,2536,2536,19928,19928,29273,29273,21758,21758,18409,18409,27821,27821,12369,12369,14854,14854,38675,38675,83394,83394,39373,39373,20097,20097,36917,36917,27645,27645,46477,46477,58192,58192,13863,13863,15991,15991,20391,20391,14951,14951,24246,24246,20085,20085,33020,33020,9912,9912,22675,22675,13391,13391,39912,39912,46481,46481,15786,15786,9973,9973,28959,28959,17852,17852,14542,14542,31974,31974,16868,16868,9257,9257,15030,15030,9626,9626,11574,11574,44718,44718,18257,18257,70000,70000,21980,21980,21353,21353,21268,21268,7840,7840,8214,8214,15111,15111,21785,21785,6895,6895,6171,6171,7324,7324,6938,6938,32058,32058,20175,20175,31345,31345,21794,21794,12702,12702,6445,6445,19054,19054,2853,2853,7829,7829,7854,7854
8,80427,80427,86411,86411,37772,37772,27740,27740,34717,34717,76063,76063,84600,84600,66724,66724,59988,59988,58570,58570,46828,46828,20726,20726,9997,9997,28151,28151,25996,25996,22794,22794,64503,64503,31126,31126,19701,19701,15894,15894,45900,45900,67894,67894,53258,53258,88244,88244,23941,23941,11847,11847,48152,48152,89924,89924,23576,23576,19125,19125,13457,13457,67953,67953,42444,42444,92430,92430,71969,71969,31183,31183,39594,39594,35950,35950,25308,25308,7425,7425,23575,23575,4747,4747,85362,85362,16511,16511,28955,28955,119766,119766,11699,11699,25368,25368,11436,11436,11427,11427,11842,11842,30182,30182,6559,6559,31943,31943,50203,50203,59203,59203,2482,2482,20281,20281,28704,28704,21080,21080,19224,19224,28015,28015,12454,12454,15108,15108,37329,37329,83157,83157,38092,38092,20111,20111,36589,36589,27612,27612,45906,45906,57417,57417,13607,13607,17581,17581,21121,21121,14610,14610,22758,22758,19377,19377,31611,31611,9918,9918,23156,23156,14561,14561,40298,40298,47444,47444,15072,15072,9987,9987,28902,28902,17746,17746,14872,14872,32242,32242,16657,16657,9379,9379,13182,13182,9652,9652,11311,11311,43828,43828,17882,17882,69435,69435,19237,19237,21595,21595,21312,21312,8073,8073,8071,8071,14888,14888,21106,21106,6912,6912,6556,6556,7450,7450,6802,6802,30642,30642,20255,20255,30603,30603,21833,21833,12321,12321,5871,5871,19023,19023,2863,2863,8018,8018,7629,7629
9,80513,80513,85107,85107,37725,37725,27770,27770,32231,32231,75247,75247,81556,81556,67832,67832,56487,56487,58085,58085,45438,45438,21104,21104,10121,10121,27597,27597,26639,26639,22302,22302,63380,63380,29385,29385,20258,20258,15945,15945,46302,46302,67490,67490,53547,53547,88405,88405,23493,23493,11712,11712,49941,49941,91777,91777,23200,23200,18692,18692,13545,13545,66581,66581,42973,42973,92291,92291,73459,73459,31771,31771,38826,38826,35286,35286,25201,25201,7380,7380,23926,23926,4843,4843,83288,83288,16358,16358,28890,28890,118701,118701,11421,11421,24865,24865,11529,11529,11531,11531,11633,11633,30219,30219,6379,6379,33154,33154,49125,49125,59225,59225,2385,2385,19397,19397,27117,27117,20606,20606,19221,19221,28664,28664,12665,12665,16427,16427,36121,36121,82774,82774,37918,37918,19560,19560,36284,36284,27582,27582,43955,43955,56247,56247,12316,12316,18713,18713,19359,19359,14588,14588,20920,20920,19525,19525,28422,28422,9590,9590,23126,23126,14798,14798,40764,40764,46343,46343,15313,15313,10025,10025,27331,27331,17865,17865,14483,14483,32143,32143,16592,16592,9558,9558,13058,13058,9172,9172,10533,10533,43422,43422,18237,18237,71909,71909,16879,16879,21807,21807,21070,21070,8280,8280,8218,8218,15121,15121,20468,20468,7165,7165,6322,6322,7554,7554,6549,6549,28231,28231,20000,20000,29932,29932,22742,22742,12085,12085,6011,6011,18424,18424,2946,2946,8418,8418,7496,7496
10,80673,80673,82891,82891,37957,37957,27523,27523,32839,32839,75017,75017,80995,80995,66652,66652,55471,55471,58373,58373,45429,45429,20046,20046,9813,9813,27493,27493,26817,26817,21835,21835,62840,62840,29073,29073,19410,19410,15631,15631,46875,46875,64746,64746,53334,53334,87210,87210,22581,22581,11148,11148,49652,49652,92292,92292,23298,23298,18981,18981,13670,13670,66450,66450,41916,41916,91430,91430,73777,73777,32355,32355,38837,38837,33719,33719,25317,25317,7532,7532,23563,23563,4999,4999,84396,84396,16606,16606,29434,29434,118579,118579,11510,11510,25379,25379,11359,11359,11005,11005,12354,12354,30611,30611,6492,6492,32789,32789,48269,48269,57743,57743,2524,2524,19555,19555,25914,25914,20964,20964,18426,18426,28293,28293,12499,12499,17792,17792,35791,35791,82622,82622,37180,37180,19058,19058,36930,36930,26962,26962,43072,43072,57118,57118,12029,12029,20734,20734,19057,19057,14808,14808,19753,19753,19480,19480,27089,27089,10098,10098,23074,23074,15101,15101,40455,40455,46635,46635,15390,15390,9668,9668,27236,27236,17826,17826,14490,14490,32209,32209,17319,17319,9628,9628,13571,13571,9364,9364,10583,10583,42570,42570,18451,18451,70894,70894,16069,16069,21344,21344,21099,21099,8527,8527,8070,8070,14957,14957,20389,20389,6924,6924,6326,6326,7884,7884,6915,6915,28083,28083,20048,20048,30578,30578,22505,22505,12733,12733,6090,6090,18613,18613,2922,2922,7965,7965,7742,7742
