 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53,IntDen54,RawIntDen54,IntDen55,RawIntDen55,IntDen56,RawIntDen56,IntDen57,RawIntDen57,IntDen58,RawIntDen58,IntDen59,RawIntDen59,IntDen60,RawIntDen60,IntDen61,RawIntDen61,IntDen62,RawIntDen62,IntDen63,RawIntDen63,IntDen64,RawIntDen64,IntDen65,RawIntDen65,IntDen66,RawIntDen66,IntDen67,RawIntDen67,IntDen68,RawIntDen68,IntDen69,RawIntDen69,IntDen70,RawIntDen70,IntDen71,RawIntDen71,IntDen72,RawIntDen72,IntDen73,RawIntDen73,IntDen74,RawIntDen74,IntDen75,RawIntDen75,IntDen76,RawIntDen76,IntDen77,RawIntDen77,IntDen78,RawIntDen78,IntDen79,RawIntDen79,IntDen80,RawIntDen80,IntDen81,RawIntDen81,IntDen82,RawIntDen82,IntDen83,RawIntDen83,IntDen84,RawIntDen84,IntDen85,RawIntDen85,IntDen86,RawIntDen86,IntDen87,RawIntDen87,IntDen88,RawIntDen88,IntDen89,RawIntDen89,IntDen90,RawIntDen90,IntDen91,RawIntDen91,IntDen92,RawIntDen92,IntDen93,RawIntDen93,IntDen94,RawIntDen94,IntDen95,RawIntDen95,IntDen96,RawIntDen96,IntDen97,RawIntDen97,IntDen98,RawIntDen98,IntDen99,RawIntDen99,IntDen100,RawIntDen100,IntDen101,RawIntDen101,IntDen102,RawIntDen102,IntDen103,RawIntDen103,IntDen104,RawIntDen104,IntDen105,RawIntDen105,IntDen106,RawIntDen106,IntDen107,RawIntDen107,IntDen108,RawIntDen108,IntDen109,RawIntDen109,IntDen110,RawIntDen110,IntDen111,RawIntDen111,IntDen112,RawIntDen112,IntDen113,RawIntDen113,IntDen114,RawIntDen114,IntDen115,RawIntDen115,IntDen116,RawIntDen116,IntDen117,RawIntDen117,IntDen118,RawIntDen118,IntDen119,RawIntDen119,IntDen120,RawIntDen120,IntDen121,RawIntDen121,IntDen122,RawIntDen122,IntDen123,RawIntDen123,IntDen124,RawIntDen124,IntDen125,RawIntDen125,IntDen126,RawIntDen126,IntDen127,RawIntDen127,IntDen128,RawIntDen128,IntDen129,RawIntDen129,IntDen130,RawIntDen130,IntDen131,RawIntDen131,IntDen132,RawIntDen132,IntDen133,RawIntDen133,IntDen134,RawIntDen134,IntDen135,RawIntDen135,IntDen136,RawIntDen136,IntDen137,RawIntDen137,IntDen138,RawIntDen138,IntDen139,RawIntDen139,IntDen140,RawIntDen140,IntDen141,RawIntDen141,IntDen142,RawIntDen142,IntDen143,RawIntDen143,IntDen144,RawIntDen144,IntDen145,RawIntDen145
1,16747,16747,19539,19539,10855,10855,6683,6683,7981,7981,6324,6324,22971,22971,18357,18357,54189,54189,17903,17903,38564,38564,17155,17155,7536,7536,7684,7684,21447,21447,25869,25869,16026,16026,8913,8913,27757,27757,42778,42778,34507,34507,30783,30783,4986,4986,19043,19043,6575,6575,10599,10599,17266,17266,3798,3798,1326,1326,62225,62225,30291,30291,34961,34961,3431,3431,18508,18508,31224,31224,74795,74795,88301,88301,39,39,13039,13039,22218,22218,11047,11047,6464,6464,37695,37695,15296,15296,28053,28053,4790,4790,89594,89594,36228,36228,10955,10955,7192,7192,10860,10860,12494,12494,15403,15403,19785,19785,40516,40516,120899,120899,6747,6747,33245,33245,11377,11377,36002,36002,11002,11002,52923,52923,35496,35496,27987,27987,33749,33749,24672,24672,15988,15988,18571,18571,27589,27589,52377,52377,9564,9564,15388,15388,82355,82355,2351,2351,92174,92174,1803,1803,605,605,46605,46605,42532,42532,10542,10542,30378,30378,21192,21192,28061,28061,7115,7115,12769,12769,26554,26554,37620,37620,21873,21873,16552,16552,15042,15042,81123,81123,73501,73501,20553,20553,18210,18210,23900,23900,25596,25596,17123,17123,11835,11835,16618,16618,59626,59626,15766,15766,24873,24873,15179,15179,13242,13242,21521,21521,67244,67244,45408,45408,10488,10488,11141,11141,8368,8368,19824,19824,40573,40573,62445,62445,9458,9458,32738,32738,52445,52445,75102,75102,20963,20963,29112,29112,17062,17062,14934,14934,58897,58897,18348,18348,24718,24718,4582,4582,9449,9449,67734,67734,17412,17412,27619,27619,28572,28572,19642,19642,23551,23551,3570,3570,13989,13989,50019,50019,25472,25472,11163,11163,18949,18949,88639,88639,5508,5508,1359,1359,15022,15022,37873,37873,15714,15714,7206,7206
2,16491,16491,19988,19988,10031,10031,6486,6486,8336,8336,6595,6595,21948,21948,18397,18397,53676,53676,17534,17534,37662,37662,17228,17228,7052,7052,8011,8011,20546,20546,25270,25270,16467,16467,9323,9323,26813,26813,44772,44772,33842,33842,30512,30512,4731,4731,18321,18321,6820,6820,12249,12249,17604,17604,3635,3635,1471,1471,61084,61084,30207,30207,34574,34574,3263,3263,18200,18200,31263,31263,74531,74531,85570,85570,48,48,12909,12909,22346,22346,10998,10998,6624,6624,39205,39205,14974,14974,26852,26852,4511,4511,89001,89001,35615,35615,11059,11059,7034,7034,10797,10797,12756,12756,15444,15444,19794,19794,40572,40572,122781,122781,6808,6808,35475,35475,11848,11848,35875,35875,11700,11700,51297,51297,34403,34403,27569,27569,35679,35679,25155,25155,15832,15832,18737,18737,27141,27141,50891,50891,9512,9512,15898,15898,84980,84980,2476,2476,89724,89724,1712,1712,821,821,46780,46780,42280,42280,10770,10770,31249,31249,20942,20942,27312,27312,7704,7704,12442,12442,26479,26479,36409,36409,22051,22051,16118,16118,15353,15353,80847,80847,71640,71640,21016,21016,18326,18326,24953,24953,25355,25355,17355,17355,11729,11729,16148,16148,59186,59186,15662,15662,25912,25912,15851,15851,13017,13017,21151,21151,67132,67132,46071,46071,10536,10536,11361,11361,8412,8412,19935,19935,39889,39889,62690,62690,9431,9431,32924,32924,51470,51470,73671,73671,21187,21187,27843,27843,16978,16978,16409,16409,59183,59183,18697,18697,24366,24366,4753,4753,9284,9284,66489,66489,17950,17950,27336,27336,28307,28307,19013,19013,24321,24321,3628,3628,14333,14333,49941,49941,25574,25574,11027,11027,18915,18915,88534,88534,6164,6164,1804,1804,14525,14525,38616,38616,15956,15956,7611,7611
3,16514,16514,20227,20227,9540,9540,6756,6756,8118,8118,6418,6418,21944,21944,18683,18683,53458,53458,16925,16925,36855,36855,16908,16908,6810,6810,7936,7936,20811,20811,25147,25147,16698,16698,9302,9302,26619,26619,46640,46640,33903,33903,30261,30261,4772,4772,18083,18083,7699,7699,13195,13195,16908,16908,3649,3649,1533,1533,59996,59996,31450,31450,33641,33641,3503,3503,18295,18295,31115,31115,73375,73375,84222,84222,64,64,12456,12456,22670,22670,10833,10833,6711,6711,39523,39523,15442,15442,26364,26364,4613,4613,92897,92897,35966,35966,11177,11177,7126,7126,10815,10815,12748,12748,14499,14499,20550,20550,40724,40724,124230,124230,6830,6830,35583,35583,12239,12239,35164,35164,11384,11384,51296,51296,34679,34679,26744,26744,36102,36102,25857,25857,15873,15873,18758,18758,26486,26486,50283,50283,9762,9762,15926,15926,88301,88301,2756,2756,89711,89711,1753,1753,767,767,46959,46959,41904,41904,11153,11153,32258,32258,20756,20756,27907,27907,7811,7811,12811,12811,26867,26867,36373,36373,21409,21409,16477,16477,16064,16064,79483,79483,69726,69726,21336,21336,18043,18043,26954,26954,25846,25846,17413,17413,11782,11782,15884,15884,58898,58898,15392,15392,26325,26325,15757,15757,13803,13803,21958,21958,66335,66335,45097,45097,10634,10634,11552,11552,8085,8085,20234,20234,40533,40533,61360,61360,9395,9395,33710,33710,51673,51673,74251,74251,20635,20635,27859,27859,16838,16838,17688,17688,60065,60065,19178,19178,25356,25356,4942,4942,9451,9451,66077,66077,17853,17853,27241,27241,29131,29131,19200,19200,23645,23645,3818,3818,14344,14344,50166,50166,25819,25819,11223,11223,18106,18106,87249,87249,6223,6223,1578,1578,14088,14088,37856,37856,16761,16761,7232,7232
4,16071,16071,20174,20174,10064,10064,6809,6809,7811,7811,6224,6224,22279,22279,18941,18941,52418,52418,16604,16604,35584,35584,17173,17173,6894,6894,7833,7833,19878,19878,25728,25728,17093,17093,9439,9439,26352,26352,45588,45588,33301,33301,29387,29387,4806,4806,17522,17522,8202,8202,14439,14439,17607,17607,3602,3602,1665,1665,58980,58980,33164,33164,33048,33048,3913,3913,17985,17985,29857,29857,74394,74394,83590,83590,15,15,13127,13127,23098,23098,10740,10740,7012,7012,39852,39852,14745,14745,25595,25595,4552,4552,90766,90766,35390,35390,11393,11393,6803,6803,10740,10740,12561,12561,15330,15330,20218,20218,40906,40906,124689,124689,6837,6837,35425,35425,11930,11930,35206,35206,12298,12298,50597,50597,34609,34609,26431,26431,35346,35346,25515,25515,15834,15834,18636,18636,26314,26314,49295,49295,9759,9759,16099,16099,92233,92233,2996,2996,87862,87862,1675,1675,790,790,47822,47822,42435,42435,11227,11227,32858,32858,20054,20054,27360,27360,7761,7761,12601,12601,26756,26756,36167,36167,21290,21290,16511,16511,16213,16213,79842,79842,70157,70157,22321,22321,17431,17431,27238,27238,26369,26369,17703,17703,11735,11735,16006,16006,58791,58791,15182,15182,25947,25947,16259,16259,13788,13788,21656,21656,66759,66759,45240,45240,10637,10637,11365,11365,8196,8196,20064,20064,39962,39962,60641,60641,9530,9530,34491,34491,51637,51637,73666,73666,20920,20920,27206,27206,17082,17082,17540,17540,59794,59794,21396,21396,24658,24658,4793,4793,9190,9190,66686,66686,17718,17718,27084,27084,29094,29094,18080,18080,24319,24319,3566,3566,14473,14473,49753,49753,24996,24996,10798,10798,17805,17805,86189,86189,6459,6459,1719,1719,12491,12491,38495,38495,16873,16873,7405,7405
5,16462,16462,20369,20369,9500,9500,6643,6643,8355,8355,6693,6693,21906,21906,18815,18815,53649,53649,16497,16497,36281,36281,17078,17078,6685,6685,7684,7684,20266,20266,26156,26156,17198,17198,9322,9322,25496,25496,46211,46211,33165,33165,29954,29954,4961,4961,17397,17397,8400,8400,15212,15212,17745,17745,3726,3726,1732,1732,58347,58347,33867,33867,32418,32418,4105,4105,17917,17917,30314,30314,74798,74798,82594,82594,79,79,12643,12643,22282,22282,10996,10996,6584,6584,40624,40624,14664,14664,25698,25698,4491,4491,92400,92400,35820,35820,11295,11295,6683,6683,10487,10487,13259,13259,14758,14758,20514,20514,41686,41686,126874,126874,6905,6905,35483,35483,12047,12047,35202,35202,12106,12106,49900,49900,34283,34283,26988,26988,35835,35835,25973,25973,15380,15380,18190,18190,26334,26334,48879,48879,9760,9760,15800,15800,97227,97227,3063,3063,88753,88753,1868,1868,832,832,46553,46553,41944,41944,11890,11890,33890,33890,19730,19730,26913,26913,7744,7744,12517,12517,27382,27382,36450,36450,21397,21397,16036,16036,16478,16478,80283,80283,69755,69755,23089,23089,17939,17939,28457,28457,26940,26940,17533,17533,11569,11569,16058,16058,58435,58435,14299,14299,27266,27266,16644,16644,13592,13592,21824,21824,66905,66905,45467,45467,10813,10813,11876,11876,8075,8075,19864,19864,40455,40455,60696,60696,9277,9277,34632,34632,51796,51796,75106,75106,21512,21512,27314,27314,16797,16797,18547,18547,59192,59192,25128,25128,24834,24834,4889,4889,9030,9030,65861,65861,18053,18053,27922,27922,28503,28503,18819,18819,24336,24336,3729,3729,14440,14440,50263,50263,25497,25497,11080,11080,17292,17292,86643,86643,6443,6443,1764,1764,11918,11918,39411,39411,17271,17271,7699,7699
6,16269,16269,20442,20442,9301,9301,6531,6531,8323,8323,6481,6481,22098,22098,19243,19243,54011,54011,16392,16392,36147,36147,17436,17436,6448,6448,7804,7804,20113,20113,26157,26157,16995,16995,9524,9524,25971,25971,45904,45904,33084,33084,30025,30025,5116,5116,17628,17628,8545,8545,14977,14977,17285,17285,3749,3749,1739,1739,58246,58246,35022,35022,32946,32946,4350,4350,17873,17873,29930,29930,74340,74340,82544,82544,16,16,12930,12930,22620,22620,11103,11103,6616,6616,41340,41340,15017,15017,25459,25459,4551,4551,92139,92139,35661,35661,11374,11374,6766,6766,10435,10435,13419,13419,15604,15604,20770,20770,41664,41664,128132,128132,6737,6737,35561,35561,12473,12473,35276,35276,12365,12365,51119,51119,35314,35314,27071,27071,37444,37444,26433,26433,15843,15843,18471,18471,26145,26145,48036,48036,9324,9324,16646,16646,101698,101698,3116,3116,87794,87794,2013,2013,909,909,47302,47302,41608,41608,11853,11853,34140,34140,19602,19602,26989,26989,8172,8172,12387,12387,27749,27749,35433,35433,21689,21689,16361,16361,16823,16823,79948,79948,68601,68601,24422,24422,17491,17491,29406,29406,26411,26411,17894,17894,12292,12292,15413,15413,57368,57368,14753,14753,27574,27574,17102,17102,14435,14435,21849,21849,66086,66086,45126,45126,10976,10976,11777,11777,8327,8327,19978,19978,40538,40538,60791,60791,9471,9471,35701,35701,52012,52012,74650,74650,21040,21040,26400,26400,16989,16989,19133,19133,60044,60044,31381,31381,24839,24839,4869,4869,9667,9667,66814,66814,18115,18115,27236,27236,29900,29900,18641,18641,24257,24257,3882,3882,14354,14354,50246,50246,25845,25845,11540,11540,16825,16825,86104,86104,6373,6373,1753,1753,11183,11183,38687,38687,17486,17486,7564,7564
7,15956,15956,20661,20661,9618,9618,6837,6837,8206,8206,6741,6741,21551,21551,19704,19704,54587,54587,16331,16331,36434,36434,17800,17800,6628,6628,8088,8088,20506,20506,26040,26040,17230,17230,9442,9442,25367,25367,46741,46741,33686,33686,30634,30634,5638,5638,17495,17495,8837,8837,15116,15116,17658,17658,3878,3878,1754,1754,57737,57737,36062,36062,32563,32563,4906,4906,18210,18210,29362,29362,74511,74511,82832,82832,40,40,12985,12985,22837,22837,10719,10719,6625,6625,41262,41262,15493,15493,25084,25084,4436,4436,92487,92487,35216,35216,11275,11275,6904,6904,10691,10691,13834,13834,15168,15168,21466,21466,41756,41756,130479,130479,6822,6822,35659,35659,12100,12100,35391,35391,12111,12111,50642,50642,34862,34862,26814,26814,36921,36921,26554,26554,14994,14994,18916,18916,25729,25729,48798,48798,9512,9512,15818,15818,104151,104151,3402,3402,87512,87512,2130,2130,862,862,47372,47372,42479,42479,12135,12135,34983,34983,20130,20130,27413,27413,8067,8067,12347,12347,29750,29750,35794,35794,21859,21859,16588,16588,17107,17107,80778,80778,69470,69470,24646,24646,17438,17438,29495,29495,27766,27766,17497,17497,12041,12041,16377,16377,57275,57275,14596,14596,27898,27898,17795,17795,14449,14449,22159,22159,65954,65954,45711,45711,10748,10748,11868,11868,8618,8618,20115,20115,40451,40451,61256,61256,9969,9969,35766,35766,52024,52024,75508,75508,21870,21870,26409,26409,17533,17533,19468,19468,59633,59633,37046,37046,25293,25293,5130,5130,9510,9510,65711,65711,18402,18402,27365,27365,29488,29488,18353,18353,24946,24946,4155,4155,14791,14791,50046,50046,25830,25830,11060,11060,16726,16726,86641,86641,6527,6527,1581,1581,10301,10301,39374,39374,17778,17778,7702,7702
8,16601,16601,20801,20801,9191,9191,6851,6851,8617,8617,6875,6875,22576,22576,19100,19100,54252,54252,16504,16504,36270,36270,17663,17663,6895,6895,8311,8311,20832,20832,26177,26177,17735,17735,9183,9183,25883,25883,46729,46729,33967,33967,30696,30696,5456,5456,17625,17625,8993,8993,15657,15657,17906,17906,3729,3729,1701,1701,57634,57634,37428,37428,33373,33373,5109,5109,18218,18218,29450,29450,74962,74962,81507,81507,21,21,12976,12976,22725,22725,11420,11420,6896,6896,41862,41862,15114,15114,25339,25339,4195,4195,93428,93428,35730,35730,11616,11616,6736,6736,10742,10742,13692,13692,15297,15297,22217,22217,42176,42176,130681,130681,6847,6847,36197,36197,12314,12314,34882,34882,12149,12149,50399,50399,34370,34370,26943,26943,37818,37818,26730,26730,15028,15028,19230,19230,25359,25359,48684,48684,9527,9527,16158,16158,108664,108664,3485,3485,87200,87200,2268,2268,945,945,47280,47280,42001,42001,12014,12014,35166,35166,19673,19673,27413,27413,8208,8208,12432,12432,29691,29691,35176,35176,21256,21256,16551,16551,17435,17435,82284,82284,68009,68009,24431,24431,17315,17315,30334,30334,28161,28161,17863,17863,12291,12291,16264,16264,58100,58100,15117,15117,28328,28328,18178,18178,14379,14379,22056,22056,66098,66098,45142,45142,11258,11258,12016,12016,8566,8566,20666,20666,39796,39796,61402,61402,10038,10038,36725,36725,52565,52565,74243,74243,21332,21332,26357,26357,17474,17474,19528,19528,60581,60581,43411,43411,25579,25579,5221,5221,9388,9388,66360,66360,18745,18745,27155,27155,30405,30405,18792,18792,24356,24356,4020,4020,15160,15160,50324,50324,25646,25646,11166,11166,16048,16048,85925,85925,6367,6367,1569,1569,10375,10375,39646,39646,18114,18114,7640,7640
9,16098,16098,20716,20716,9171,9171,6944,6944,8458,8458,6846,6846,22379,22379,19397,19397,55030,55030,15807,15807,37374,37374,17082,17082,6697,6697,8278,8278,20692,20692,26579,26579,18520,18520,9788,9788,25630,25630,46683,46683,34096,34096,30697,30697,5741,5741,17167,17167,8841,8841,15778,15778,17349,17349,3908,3908,1843,1843,56296,56296,36972,36972,33231,33231,5509,5509,18133,18133,29322,29322,73378,73378,82494,82494,16,16,13422,13422,23469,23469,10965,10965,7318,7318,42362,42362,15336,15336,25784,25784,3834,3834,92976,92976,35417,35417,11531,11531,6928,6928,10581,10581,13725,13725,15388,15388,22379,22379,42281,42281,131426,131426,6934,6934,36236,36236,12246,12246,35453,35453,12726,12726,50720,50720,34151,34151,26635,26635,38967,38967,26537,26537,15687,15687,18901,18901,26297,26297,47792,47792,9624,9624,15923,15923,110204,110204,3797,3797,86650,86650,2347,2347,920,920,47830,47830,42135,42135,12419,12419,35773,35773,19374,19374,27069,27069,8224,8224,12535,12535,29769,29769,35481,35481,21734,21734,16819,16819,17977,17977,83074,83074,68276,68276,25119,25119,17604,17604,30385,30385,28470,28470,18148,18148,12529,12529,16236,16236,56598,56598,14953,14953,27981,27981,18142,18142,14584,14584,21679,21679,66259,66259,44840,44840,11073,11073,12064,12064,8181,8181,20583,20583,39708,39708,61281,61281,10354,10354,36731,36731,52752,52752,74154,74154,21605,21605,26778,26778,17820,17820,20027,20027,60307,60307,52765,52765,25501,25501,5232,5232,9721,9721,66958,66958,18680,18680,26915,26915,30293,30293,18067,18067,24246,24246,4178,4178,14814,14814,50632,50632,25761,25761,11520,11520,15719,15719,85671,85671,6295,6295,1793,1793,10703,10703,39785,39785,18158,18158,7573,7573
10,16325,16325,20870,20870,9010,9010,6920,6920,8450,8450,7189,7189,21981,21981,19664,19664,55176,55176,16445,16445,35858,35858,17107,17107,6807,6807,8316,8316,20508,20508,26990,26990,19142,19142,9590,9590,25660,25660,47866,47866,33534,33534,30614,30614,5795,5795,17693,17693,9405,9405,16363,16363,17221,17221,3895,3895,1840,1840,55661,55661,37847,37847,32810,32810,5501,5501,17729,17729,29340,29340,74229,74229,81764,81764,58,58,13753,13753,22691,22691,11450,11450,7077,7077,42317,42317,15352,15352,25557,25557,3908,3908,94553,94553,35723,35723,11578,11578,7050,7050,10288,10288,14185,14185,15928,15928,22848,22848,42247,42247,131669,131669,7029,7029,35226,35226,12263,12263,34710,34710,12855,12855,51152,51152,34786,34786,27303,27303,38856,38856,26928,26928,15380,15380,19050,19050,25637,25637,48095,48095,9584,9584,15988,15988,114224,114224,3527,3527,86828,86828,2441,2441,878,878,47329,47329,43128,43128,12649,12649,35911,35911,19794,19794,27606,27606,8396,8396,12482,12482,30051,30051,35228,35228,21273,21273,16824,16824,17902,17902,83421,83421,69191,69191,25523,25523,17097,17097,31250,31250,28611,28611,18288,18288,12519,12519,16316,16316,56915,56915,14756,14756,28976,28976,18601,18601,14406,14406,22329,22329,66227,66227,45095,45095,11546,11546,11924,11924,8552,8552,20486,20486,39537,39537,60897,60897,10131,10131,37117,37117,52745,52745,75097,75097,21665,21665,26854,26854,17309,17309,20451,20451,60562,60562,58920,58920,25327,25327,5328,5328,9314,9314,66232,66232,18391,18391,26728,26728,30717,30717,17804,17804,25126,25126,4222,4222,15379,15379,50701,50701,26209,26209,11037,11037,15830,15830,83942,83942,6857,6857,1851,1851,11547,11547,40755,40755,18199,18199,7518,7518
